configuration_path,shape_and_values,optional,constraints,source
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.inet6_bind_address,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L71
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.interface,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L408
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.netns,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L76
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.network_strategy,"{""$ref"":""#/$defs/NetworkStrategy""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L86
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.network_type,"{""anyOf"":[{""$ref"":""#/$defs/InterfaceType""},{""items"":{""$ref"":""#/$defs/InterfaceType""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L87
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.prefer_go,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L378
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.protect_path,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L73
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.reuse_addr,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L75
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.routing_mark,"{""$ref"":""#/$defs/FwMark""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L74
$.dns (DNSOptions).servers[] (DNSServerOptions){oneOf:0}.tag,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L22
